type,time,x,y
GROUND,1752846571.7688859,-0.3292533299331657,0.34860994801225176
GROUND,1752846571.7810419,-0.32920918301750923,0.34847361628069506
GROUND,1752846571.7933059,-0.32918189489491656,0.348339065146791
GROUND,1752846571.8048599,-0.32923554299133073,0.34844283677306076
GROUND,1752846571.8170023,-0.3292385687020283,0.3484408713393783
GROUND,1752846571.82918,-0.3292408185081741,0.3485492163118331
GROUND,1752846571.8408124,-0.3292206271870879,0.34838317423482035
GROUND,1752846571.8529992,-0.3292164328863456,0.3484716262198817
GROUND,1752846571.8651812,-0.32927593088789564,0.3485548640608488
GROUND,1752846571.8773625,-0.3292458127100706,0.3484623433500672
GROUND,1752846571.8889883,-0.32923619440324403,0.3484484547838146
GROUND,1752846571.9011767,-0.3292901784956892,0.348570985243829
GROUND,1752846571.912838,-0.32930139106502887,0.3485878008453014
GROUND,1752846571.925018,-0.3293154510320462,0.34865174861503645
GROUND,1752846571.9371998,-0.329246100313243,0.3484517508952206
GROUND,1752846571.9488232,-0.3293111268524318,0.3486467859042913
GROUND,1752846571.9621038,-0.3293109383824744,0.3485732490055987
GROUND,1752846571.974273,-0.32926673706555665,0.34851641467444905
GROUND,1752846571.985905,-0.3293319964202901,0.34857349784251646
GROUND,1752846571.9981003,-0.32929779830236594,0.34852291432059535
GROUND,1752846572.010237,-0.32939199037535394,0.3488358986055762
GROUND,1752846572.0218904,-0.3293294026252669,0.3486477019740364
GROUND,1752846572.034036,-0.32942669012216763,0.34883235355695763
GROUND,1752846572.0461698,-0.3293409594680985,0.3485750940034199
GROUND,1752846572.0578122,-0.32939800724484325,0.34879793461291
GROUND,1752846572.0711524,-0.3293478848095188,0.3486364947465542
GROUND,1752846572.0827966,-0.3294318023020648,0.3487602475497703
GROUND,1752846572.0950065,-0.3294669487995039,0.34888695521753943
GROUND,1752846572.1072052,-0.32945401896264936,0.3488574799812183
GROUND,1752846572.1188576,-0.3294826358671199,0.34890310885438425
GROUND,1752846572.1310725,-0.3295361816789022,0.34904340701326086
GROUND,1752846572.143352,-0.3295256979669636,0.3489813775343825
GROUND,1752846572.1549082,-0.32948239092895903,0.34884180878831383
GROUND,1752846572.1681876,-0.3294721364391795,0.34886670991620405
GROUND,1752846572.1798573,-0.32960059154408583,0.34917170039966416
GROUND,1752846572.1920547,-0.3295901663796563,0.34914254236254605
GROUND,1752846572.2042387,-0.329579787381884,0.3490988188611599
GROUND,1752846572.2163358,-0.329652332521182,0.3492532079416022
GROUND,1752846572.228375,-0.3296317464961551,0.3493048766461865
GROUND,1752846572.2401936,-0.32976484274415796,0.3496318304039958
GROUND,1752846572.2559073,-0.32975402041752755,0.3495730783513895
GROUND,1752846572.2662268,-0.3297475048992293,0.34952304121039224
GROUND,1752846572.277898,-0.32986705696788077,0.34981374511428853
GROUND,1752846572.2899008,-0.32997107568204287,0.3500951341899705
GROUND,1752846572.3021545,-0.32998931352894445,0.350117373165143
GROUND,1752846572.3138607,-0.3300732901837278,0.3504108723126592
GROUND,1752846572.3260636,-0.33018980604151205,0.3507531756760107
GROUND,1752846572.33827,-0.3303810172425403,0.35130377930399637
GROUND,1752846572.349972,-0.33043152434921064,0.35140551744473614
GROUND,1752846572.3649771,-0.3306700349914071,0.35204257365749614
GROUND,1752846572.3771837,-0.3308159622044293,0.35249012133539426
GROUND,1752846572.3888066,-0.33099114264647067,0.35300333042852516
GROUND,1752846572.401053,-0.3311615038243332,0.3534890885565495
GROUND,1752846572.4132905,-0.33137043009322076,0.3540661598556927
GROUND,1752846572.4249353,-0.33166071685065024,0.35492538528484885
GROUND,1752846572.4371552,-0.3318640916848481,0.3554974533602623
GROUND,1752846572.44887,-0.33211544100623547,0.35617189757071455
GROUND,1752846572.4610999,-0.3324383864613978,0.3570188205449215
GROUND,1752846572.4760938,-0.332704213201529,0.35765468430930536
GROUND,1752846572.4862173,-0.33307292368019104,0.3586567858085421
GROUND,1752846572.4981542,-0.333467677207413,0.3593403879860013
GROUND,1752846572.5098233,-0.3339810642047425,0.35994702909964704
GROUND,1752846572.5222645,-0.3343607735540588,0.3609086771977882
GROUND,1752846572.534226,-0.3348045638867725,0.3621235498989267
GROUND,1752846572.5460422,-0.3352447736382591,0.3631612445189586
GROUND,1752846572.5580502,-0.3357275294590134,0.36428448266495883
GROUND,1752846572.5700247,-0.3361072536343723,0.3650774482871766
GROUND,1752846572.5821512,-0.33663290623676456,0.3662185798523815
GROUND,1752846572.5942397,-0.33718283690545414,0.36720928943874964
GROUND,1752846572.605935,-0.33763661078629603,0.367948085802261
GROUND,1752846572.6180995,-0.3380136017707924,0.368913000727944
GROUND,1752846572.630277,-0.33846317443632534,0.36986923273119865
GROUND,1752846572.6418753,-0.3388819579951807,0.3706607471677392
GROUND,1752846572.6540265,-0.3393560217477254,0.3714216037685847
GROUND,1752846572.6679094,-0.33985906851105474,0.37222941436299006
GROUND,1752846572.6800525,-0.34038927583513345,0.3732092129672432
GROUND,1752846572.6922305,-0.34084156828791956,0.374060957115227
GROUND,1752846572.7039063,-0.3413377079462654,0.37526815732236984
GROUND,1752846572.7160506,-0.34192866629510377,0.37651801942281127
GROUND,1752846572.7282448,-0.3424489898470573,0.3777938747837162
GROUND,1752846572.739896,-0.3430149607967836,0.37868752807526385
GROUND,1752846572.752032,-0.34365083807218255,0.3797186784816803
GROUND,1752846572.7642283,-0.34426677976509223,0.38070832888865425
GROUND,1752846572.7758634,-0.3448415016455275,0.38170078177005295
GROUND,1752846572.7880266,-0.3454294984309647,0.38280463826354805
GROUND,1752846572.800235,-0.3459957247937928,0.383930848897443
GROUND,1752846572.8118343,-0.346681851158015,0.38527460373009303
GROUND,1752846572.8240669,-0.3472992175270573,0.3863388228096232
GROUND,1752846572.8362799,-0.3479888905060746,0.38743746186038763
